Channel Name,Date,Description,Tags,No of likes,No of Comments
islamicspeechesofficial,2022-12-10,Mufti Sb Ko bhi Bemdi Pasand He 🤣🤣🤣🤣🤣,"['#tariqmasoodfunnyspeech', '#funnybayan', '#MTM', '#tariqmasoodbayan', '#muftitariqmasood', '#islamicspeeches']",1738,13
muskan,🤣🤣🤣🤣🤣,1-25
TDM ATTACK 👑👿,😂😂,1-21
salim,right,1-3
muzammilk78,😂😂😂😂😂,2022-12-15
shareef bhai 😌,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2022-12-15
islamicspeechesofficial,2022-12-5,Islami Films 🤣🤣🤣🤣,"['#muftitariqmasood', '#tariqmasood', '#islamicspeeches', '#tariqmasoodbayan', '#MTM', '#funnybayan', '#tariqmasoodfunnyspeech']",6435,59
😉✳🔣✳Haseeb🍁Ali✴🔣✴😉,Right😂😂😉,2022-12-5
💔Naseer by 💔,nice g,2022-12-5
Maلik👑,😂😂,6d ago
user3737278181440,😅😅😅,1-31
Alvi Sahab.,😂😂😂,1-23
islamicspeechesofficial,2022-10-29,Khaja-Sara/Shemale/خواجہ سرا,"['#StemDrop001', '#tariqmasoodbayan', '#islamicspeeches', '#shemale', '#khajasara', '#mufti_tariq_masood_shb']",3459,12
muhammad Ibrahim,🥰🥰🥰🥰,2-3
USAMA PIRZADA LLC,🥰🥰🥰🥰🥰🥰,2022-11-28
m2king60,very good,2022-11-19
mehrabali3871,🥰🥰🥰,2022-11-6
mohammadshoaib046,🥰geo sir🥰 righr,2022-11-6
islamicspeechesofficial,2022-10-16,BaNigahi Ka Nuqsan/Eye opening Bayan 🤕😢😷 😯,"['#askmuftitariqmasood', '#DidYouYawn', '#muftitariqmasoodbestbayan', '#tariqmasoodnewbayan', '#tariqmasoodnazarki', '#nazarkihifazat', '#beNigahi', '#badnazri', '#eyeopeningspeech', '#eyeopeningbayan', '#emotionalbayan']",7300,48
Aamir Khan,Ya Allah mujay or tamam muslmano hidayat de Ameen,2022-10-19
B I L 么 L 🤬,Allah 💖💖💖,2022-10-17
user52220663277405,🥰🥰🤲🏻😭✌️💔,2022-12-9
🔥King 👑🌹,Qurban🥰🥰,2022-10-26
🖤,😢😥🤲🤲😭 right,2022-10-22
islamicspeechesofficial,2022-10-14,😷😢🤕اے کاش /Ay Kash,"['#MTM', '#Muftitariqmasood', '#tariqmasood', '#tariqmasoodshadhibayan', '#tariqmasoodnewbayan', '#islamicspeeches', '#muftitariqmasoodbestbayan', '#aykash', '#askmuftitariqmasood']",4605,24
🔥raRe PATHAN🔥,استغفر اللہ العظیم وبحمدہ 🤲🤍🤲🤲😭🤲😭🤍🤲,2022-10-17
USAMA PIRZADA LLC,🥰🥰🥰,2022-11-28
Faisal Khan🥰☪✅,الله اکبر☝,2022-10-16
ilyas bhana,nice,2022-10-15
𝗜𝗱𝗿𝗲𝗲𝘀 ✪,Allahamdulillah muji Apny Allah pai Yaqeen ha k wo muji or mery family walo ko right hand pai amal nama dega ☺️Pak ho ghunaho se Allahamdulillah,2022-11-14
